Designator,Mid X,Mid Y,Rotation,Layer
C1_2,111.023333,-42.274125,90.0,top
C1,177.15,-45.599999,90.0,top
C10_2,118.154286,-49.416983,90.0,top
C10,199.649999,-53.099998,90.0,top
C11_2,125.297143,-49.416983,90.0,top
C11,207.149999,-53.099998,90.0,top
C12_2,132.44,-49.416983,90.0,top
C12,214.649999,-53.099998,90.0,top
C13_2,139.582857,-49.416983,90.0,top
C13,177.149999,-60.599998,90.0,top
C14_2,146.725714,-49.416983,90.0,top
C14,184.649999,-60.599998,90.0,top
C15_2,153.880475,-49.416983,90.0,top
C15,192.149999,-60.599998,90.0,top
C16_2,161.023332,-49.416983,90.0,top
C16,199.649999,-60.599998,90.0,top
C17_2,111.023333,-56.55984,90.0,top
C17,207.149999,-60.599998,90.0,top
C18_2,118.16619,-56.55984,90.0,top
C18,214.649999,-60.599998,90.0,top
C19_2,125.309047,-56.55984,90.0,top
C19,177.149999,-68.199998,90.0,top
C2_2,118.16619,-42.274125,90.0,top
C2,184.65,-45.599999,90.0,top
C20_2,132.451904,-56.55984,90.0,top
C20,184.649999,-68.199998,90.0,top
C21_2,139.594761,-56.55984,90.0,top
C21,192.149999,-68.199998,90.0,top
C22_2,146.737618,-56.55984,90.0,top
C22,199.649999,-68.199998,90.0,top
C23_2,153.880475,-56.55984,90.0,top
C23,207.149999,-68.199998,90.0,top
C24_2,161.023332,-56.55984,90.0,top
C24,214.649999,-68.199998,90.0,top
C25_2,111.023333,-63.702697,90.0,top
C25,177.149999,-75.607499,90.0,top
C26_2,118.154286,-63.702697,90.0,top
C26,184.649999,-75.607499,90.0,top
C27_2,125.309047,-63.702697,90.0,top
C27,192.149999,-75.607499,90.0,top
C28_2,132.451904,-63.702697,90.0,top
C28,199.649999,-75.607499,90.0,top
C29_2,139.594761,-63.702697,90.0,top
C29,207.149999,-75.607499,90.0,top
C3_2,125.309047,-42.274125,90.0,top
C3,192.15,-45.599999,90.0,top
C30_2,146.737618,-63.702697,90.0,top
C30,214.649999,-75.607499,90.0,top
C31_2,153.880475,-63.702697,90.0,top
C31,177.149999,-83.099998,90.0,top
C32_2,161.023332,-63.702697,90.0,top
C32,184.649999,-83.099998,90.0,top
C33_2,111.023333,-70.845554,90.0,top
C33,192.149999,-83.099998,90.0,top
C34_2,118.16619,-70.845554,90.0,top
C34,199.649999,-83.099998,90.0,top
C35_2,125.309047,-70.845554,90.0,top
C35,207.149999,-83.099998,90.0,top
C36_2,132.451904,-70.845554,90.0,top
C36,214.649999,-83.099998,90.0,top
C37,139.594761,-70.845554,90.0,top
C38,146.737618,-70.845554,90.0,top
C39,153.880475,-70.845554,90.0,top
C4_2,132.451904,-42.274125,90.0,top
C4,199.65,-45.599999,90.0,top
C40,161.023332,-70.845554,90.0,top
C41,111.023333,-77.988411,90.0,top
C42,118.16619,-77.988411,90.0,top
C43,125.309047,-77.988411,90.0,top
C44,132.451904,-77.988411,90.0,top
C45,139.594761,-77.988411,90.0,top
C46,146.737618,-77.988411,90.0,top
C47,153.880475,-77.988411,90.0,top
C48,161.023332,-77.988411,90.0,top
C49,111.023333,-85.131268,90.0,top
C5_2,139.594761,-42.274126,90.0,top
C5,207.149999,-45.599998,90.0,top
C50,118.16619,-85.131268,90.0,top
C51,125.311095,-85.131268,90.0,top
C52,132.453952,-85.131268,90.0,top
C53,139.596809,-85.131268,90.0,top
C54,146.739666,-85.131268,90.0,top
C55,153.882523,-85.131268,90.0,top
C56,161.02538,-85.131268,90.0,top
C57,111.025238,-92.274125,90.0,top
C58,118.168095,-92.274125,90.0,top
C59,125.311095,-92.274125,90.0,top
C6_2,146.737618,-42.274126,90.0,top
C6,214.649999,-45.599998,90.0,top
C60,132.453952,-92.274125,90.0,top
C61,139.596809,-92.274125,90.0,top
C62,146.739523,-92.274125,90.0,top
C63,153.88238,-92.274125,90.0,top
C64,161.025237,-92.274125,90.0,top
C7_2,153.868571,-42.274126,90.0,top
C7,177.149999,-53.099998,90.0,top
C8_2,161.011428,-42.274126,90.0,top
C8,184.649999,-53.099998,90.0,top
C9_2,111.011429,-49.416983,90.0,top
C9,192.149999,-53.099998,90.0,top
J1_2,138.0,-102.0,180.0,top
J1,193.25,-89.54,180.0,top
Q1_2,172.400001,-45.6,270.0,top
Q1,113.985833,-43.974125,0.0,bottom
Q10_2,142.557261,-43.974125,0.0,bottom
Q10,202.400001,-45.6,270.0,top
Q100,121.12869,-86.831267,0.0,bottom
Q101,128.273595,-86.831267,0.0,top
Q102,128.273595,-86.831267,0.0,bottom
Q103,135.416452,-86.831267,0.0,top
Q104,135.416452,-86.831267,0.0,bottom
Q105,142.559309,-86.831267,0.0,top
Q106,142.559309,-86.831267,0.0,bottom
Q107,149.702166,-86.831267,0.0,top
Q108,149.702166,-86.831267,0.0,bottom
Q109,156.845023,-86.831267,0.0,top
Q11_2,149.700118,-43.974125,0.0,top
Q11,210.949999,-41.9,180.0,top
Q110,156.845023,-86.831267,0.0,bottom
Q111,163.98788,-86.831267,0.0,top
Q112,163.98788,-86.831267,0.0,bottom
Q113,113.987738,-93.974124,0.0,top
Q114,113.987738,-93.974124,0.0,bottom
Q115,121.130595,-93.974124,0.0,top
Q116,121.130595,-93.974124,0.0,bottom
Q117,128.273595,-93.974124,0.0,top
